WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
22;2;4;4;928920;49428;skwer;Skwer im. Krzysztofa Gogolewskiego;;2019-04-26
22;2;1;1;928854;50946;park;Wzgórze Ewangelickie;;2019-04-26
22;3;4;4;977338;45008;skwer;Plac Lotników Polskich;;2019-04-26
22;4;5;2;170110;48765;bulw.;Bulwar Zespołu Czerwone Gitary;;2019-04-26
22;4;8;2;176302;50537;skwer;skwer Marszałka Sejmu RP Macieja Płażyńskiego;;2019-04-26
22;5;2;4;934547;43746;park;Park Jana Pawła II;;2019-04-26
22;5;2;4;934547;46426;park;Kotowskiego;dr. med. Henryka;2019-04-26
22;5;8;4;935127;46096;park;Park Jubileuszowy;;2019-04-26
22;5;2;4;934547;51873;park;Elasa;Teodora;2019-04-26
22;5;2;4;934547;51876;park;Kaszubskiego Pułku Piechoty, im. Marszałka Józefa Piłsudskiego;66;2019-04-26
22;6;1;1;934553;43873;skwer;Skwer Sanary-Sur-Mer;;2019-04-26
22;7;1;1;932790;36918;skwer;Kombatantów;;2019-04-26
22;7;1;1;932790;43841;skwer;Skwer Harcerzy;;2019-04-26
22;7;4;4;932962;30701;skwer;Jana Pawła II;;2019-04-26
22;8;1;1;977373;34794;park;Michalskiego;im. Mieczysława;2019-04-26
22;8;1;1;977373;1744;park;Bolesława Chrobrego;Miejski im.;2019-04-26
22;9;1;1;932815;43335;skwer;Skwer "Żołnierzy Wyklętych";;2019-04-26
22;9;1;1;932815;46607;skwer;Skwer ks. Feliksa Sawickiego;;2019-04-26
22;9;1;1;932815;52153;bulw.;Bulwar nad Nogatem im. Macieja Kilarskiego;;2019-04-26
22;9;1;1;932815;52535;skwer;Skwer Esperanto;;2019-04-26
22;9;1;1;932815;52735;skwer;Paderewskiego;Ignacego Jana;2019-04-26
22;10;2;4;932880;44531;skwer;Skwer Fryderyka Chopina;;2019-04-26
22;11;3;1;934636;43358;skwer;Skwer im. Kamili Skolimowskiej;;2019-04-26
22;11;4;5;935050;13889;bulw.;Nadmorski;;2019-04-26
22;11;4;4;935015;42411;skwer;Skwer Generała Józefa Hallera;;2019-04-26
22;11;4;4;935015;41316;skwer;Abrahama;Antoniego;2019-04-26
22;11;3;1;934636;51979;park;Park Dziejów Pucka;;2019-04-26
22;11;3;1;934636;46047;park;Park Kaszubski;;2019-04-26
22;11;3;1;934636;55088;park;Park Nowowiejskiego;;2019-04-26
22;12;1;1;977427;49332;skwer;Skwer im. Aliny Skibniewskiej;;2019-04-26
22;12;1;1;977427;48720;skwer;Skwer Latarników;;2019-04-26
22;12;1;1;977427;44962;park;Park im. Jana Pawła II;;2019-04-26
22;12;1;1;977427;50670;bulw.;Bulwar Portowy;;2019-04-26
22;12;1;1;977427;54201;park;Park Usteckich Stoczniowców;;2019-04-26
22;12;1;1;977427;54194;skwer;Skwer Pożarników Polskich;;2019-04-26
22;13;3;1;934837;45503;skwer;Skwer św. Wojciecha;;2019-04-26
22;13;3;1;934837;52383;park;Park Nowe Oblicze;;2019-04-26
22;14;1;1;934903;426;skwer;Armii Czerwonej;;2019-04-26
22;14;1;1;934903;9212;skwer;Konstytucji 3 Maja;;2019-04-26
22;14;1;1;934903;46293;skwer;Skwer Tczewskich Kolejarzy;;2019-04-26
22;14;1;1;934903;41321;bulw.;Bulwar Nadwiślański im. Księcia Sambora II;;2019-04-26
22;14;4;4;934599;44346;skwer;Skwer im. Burmistrza Stanisława Chmieleckiego;;2019-04-26
22;14;1;1;934903;44164;skwer;Skwer Doktora Schefflera;;2019-04-26
22;15;3;1;934984;47237;park;Majkowskiego;im. dr.;2019-04-26
22;15;1;1;934659;43558;park;Miejski Park Rodzinny;;2019-04-26
22;15;3;1;934984;47236;skwer;im. Papieża Jana Pawła II;;2019-04-26
22;15;3;1;934984;46047;park;Park Kaszubski;;2019-04-26
22;15;3;1;934984;49034;skwer;Osowickiej;Reginy;2019-04-26
22;15;7;2;166930;51010;park;Park prof. Gerarda Labudy;;2019-04-26
22;61;1;1;933016;36978;skwer;Niemena;Czesława;2019-04-26
22;61;1;1;933016;36127;park;Haffnera;im. Jana Jerzego;2019-04-26
22;61;1;1;933016;37254;park;Reagana;Prezydenta Ronalda;2019-04-26
22;61;1;1;933016;42235;skwer;Gałuszki;prof. Pawła;2019-04-26
22;61;1;1;933016;43260;skwer;Wilczewskiego;Ignacego;2019-04-26
22;61;1;1;933016;48641;park;Park im. ks. Bronisława Kabata;;2019-04-26
22;61;1;1;933016;44173;skwer;Kolbergera;Krzysztofa;2019-04-26
22;61;1;1;933016;46919;skwer;Skwer im. Anny Walentynowicz;;2019-04-26
22;61;1;1;933016;49147;skwer;Skwer im. Danuty Siedzikówny "Inki";;2019-04-26
22;61;1;1;933016;52522;park;Park im. Św. Barbary;;2019-04-26
22;61;1;1;933016;54169;park;Park Jelitkowski;;2019-04-26
22;61;1;1;933016;54172;skwer;Skwer im. Harcerzy Polskich w byłym Wolnym Mieście Gdańsku;;2019-04-26
22;61;1;1;933016;54352;skwer;Skwer im. Ireny Jarockiej;;2019-04-26
22;61;1;1;933016;54171;park;Park Steffensów;;2019-04-26
22;61;1;1;933016;54170;park;Park Ks. Kanonika Kazimierza Orkusza;;2019-04-26
22;61;1;1;933016;53327;park;Park Oruński im. Emilii Hoene;;2019-04-26
22;61;1;1;933016;54858;skwer;Skwer Sąsiadów;;2019-04-26
22;62;1;1;934100;9571;skwer;Kościuszki;;2019-04-26
22;62;1;1;934100;16488;skwer;Plymouth;;2019-04-26
22;62;1;1;934100;32523;wyb.;Basen IV marsz. Piłsudskiego;;2019-04-26
22;62;1;1;934100;32520;wyb.;Basen I Prezydenta;;2019-04-26
22;62;1;1;934100;32521;wyb.;Basen II inż. Wendy;;2019-04-26
22;62;1;1;934100;32522;wyb.;Basen III Węglowy;;2019-04-26
22;62;1;1;934100;35480;skwer;Mowińskiego;ks. Józefa;2019-04-26
22;62;1;1;934100;43379;park;Park Admirała Floty Andrzeja Karwety;;2019-04-26
22;62;1;1;934100;43839;skwer;Skwer Witomiński;;2019-04-26
22;62;1;1;934100;43380;park;Park Marii i Lecha Kaczyńskich;;2019-04-26
22;62;1;1;934100;43838;skwer;Skwer Świętej Urszuli Ledóchowskiej;;2019-04-26
22;62;1;1;934100;43830;wyb.;Basen Kontenerowy;;2019-04-26
22;62;1;1;934100;43831;bulw.;Bulwar Nadmorski Feliksa Nowowiejskiego;;2019-04-26
22;62;1;1;934100;43837;skwer;Skwer ks. Piotra Mazura;;2019-04-26
22;62;1;1;934100;43836;skwer;Skwer Witolda Gombrowicza;;2019-04-26
22;62;1;1;934100;43833;skwer;Skwer Arki Gdynia;;2019-04-26
22;62;1;1;934100;43829;wyb.;Basen V min. Kwiatkowskiego;;2019-04-26
22;62;1;1;934100;43832;skwer;Skwer Antoniego Suchanka;;2019-04-26
22;62;1;1;934100;45976;skwer;Skwer Ireny Kwiatkowskiej;;2019-04-26
22;63;1;1;977278;51989;skwer;Skwer im. Heinricha von Stephana;;2019-04-26
22;63;1;1;977278;53772;park;Park Ireny Sendlerowej;;2019-04-26
22;63;1;1;977278;50366;park;Park im. Józefa Trendela;;2019-04-26
22;63;1;1;977278;51988;skwer;Skwer im. Heleny Szpilewskiej;;2019-04-26
22;64;1;1;934783;33949;park;Park Północny;;2019-04-26
22;64;1;1;934783;42325;skwer;Skwer Arkadiusza Rybickiego;;2019-04-26
22;64;1;1;934783;43251;skwer;Skwer Czesława Miłosza;;2019-04-26
22;64;1;1;934783;47183;skwer;Skwer Brunona Wandtke;;2019-04-26
22;64;1;1;934783;43923;skwer;Skwer Michała Urbanka;;2019-04-26
22;64;1;1;934783;44015;skwer;Skwer ks. Otto Bowiena;;2019-04-26
22;64;1;1;934783;44020;skwer;Skwer im. Andrzeja Grubby;;2019-04-26
22;64;1;1;934783;44904;park;Park Marii i Lecha Kaczyńskich - Prezydenta RP z Małżonką;;2019-04-26
22;64;1;1;934783;44016;park;Park Sanitariuszki "Inki";;2019-04-26
22;64;1;1;934783;44018;skwer;Plac Przyjaciół Sopotu;;2019-04-26
22;64;1;1;934783;45234;skwer;Skwer ks. Władysława Szymańskiego;;2019-04-26
